REGIAO:;NE
UF:;MA
ESTACAO:;ESTREITO
CODIGO (WMO):;A224
LATITUDE:;-6,65333333
LONGITUDE:;-47,41833332
ALTITUDE:;182,96
DATA DE FUNDACAO:;27/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;991,6;991,6;990,5;;23,4;;23,7;23,3;;;;;;35;3,5;1,5;
2023/01/01;0100 UTC;;992;992,2;991,6;0;22,9;;23,4;22,4;;;;;;358;8,6;1,2;
2023/01/01;0200 UTC;;991,2;992,1;991,2;;22,9;;23;22,8;;;;;;154;2,2;,3;
2023/01/01;0300 UTC;;990,1;991,2;990,1;;22,6;;23;22,6;;;;;;123;3,9;2,4;
2023/01/01;0400 UTC;;989,6;990,1;989,4;;22,5;;22,6;22,4;;;;;;153;4,1;0;
2023/01/01;0500 UTC;;989,2;989,7;989,1;;22,6;;22,7;22,5;;;;;;267;2,7;1,1;
2023/01/01;0600 UTC;;989,2;989,4;989,2;;22,7;;22,7;22,6;;;;;;268;2,5;1,3;
2023/01/01;0700 UTC;;989,2;989,3;989,1;;22,7;;22,8;22,7;;;;;;239;1,9;0;
2023/01/01;0800 UTC;;989,4;989,4;989,1;;22,6;;22,8;22,6;;;;;;140;1;0;
2023/01/01;0900 UTC;;990;990;989,4;2,2;22,3;;22,6;22,2;;;;;;133;1,1;0;
2023/01/01;1000 UTC;;990,7;990,7;990;350,5;23,3;;23,4;22,2;;;;;;138;1,7;1,1;
2023/01/01;1100 UTC;;991,1;991,1;990,7;1147,3;26,2;;26,2;23,3;;;;;;92;1,9;0;
2023/01/01;1200 UTC;;991,5;991,6;991,1;1914,6;27,9;;27,9;25,7;;;;;;178;1,6;,1;
2023/01/01;1300 UTC;;991,7;991,8;991,4;2208,4;27,9;;28,6;27,6;;;;;;346;4,3;1,7;
2023/01/01;1400 UTC;;991,2;991,7;991,2;2491;30,1;;30,1;27,9;;;;;;322;4,3;,3;
2023/01/01;1500 UTC;;990,1;991,2;990;3053,3;31,1;;31,1;28,7;;;;;;51;6,3;3;
