REGIAO:;SE
UF:;MG
ESTACAO:;ARACUAI
CODIGO (WMO):;A566
LATITUDE:;-16,84888888
LONGITUDE:;-42,03527777
ALTITUDE:;308
DATA DE FUNDACAO:;19/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;0;980,2;980,3;979,8;;24;18,1;24,5;23,9;18,4;17,7;71;66;70;117;5,8;,5;
2023/01/01;0300 UTC;0;980;980,3;980;;24,7;18,3;24,8;23,9;18,9;18;74;67;67;83;5,5;3;
2023/01/01;0400 UTC;0;979,8;980;979,7;;23,9;18,5;24,7;23,9;19;18,1;74;67;72;208;5,5;0;
2023/01/01;0500 UTC;0;979,4;979,8;979,4;;23,4;18,3;23,9;23,4;19,3;18,2;76;70;73;87;2,2;0;
2023/01/01;0600 UTC;0;979,1;979,4;979,1;;21,2;18,2;23,4;21,2;18,7;18,2;83;73;83;118;1,4;0;
2023/01/01;0700 UTC;0;979,3;979,4;979,1;;20,6;17,8;21,2;20,6;18,3;17,8;84;83;84;106;0;0;
2023/01/01;0800 UTC;0;979,7;979,7;979,3;;20,6;17,5;20,8;20,4;18;17,5;85;82;82;29;1,3;,1;
2023/01/01;0900 UTC;0;980,5;980,5;979,7;121,3;21;18,1;21;19,8;18,1;17,1;85;82;83;124;1,3;0;
2023/01/01;1000 UTC;0;980,9;980,9;980,5;828,1;24;18,1;24;21;18,8;17,6;83;70;70;72;2,3;,4;
2023/01/01;1100 UTC;0;981,3;981,4;980,9;1476,8;24,2;16,9;26,1;24,1;18,5;16,5;70;58;64;46;3,5;1,8;
2023/01/01;1200 UTC;0;981,2;981,4;981,2;1942,6;25,7;16,8;26,3;24,2;18,1;16,8;66;57;58;59;6,6;3,2;
2023/01/01;1300 UTC;0;980,9;981,3;980,9;2394,5;27,1;17,8;27,5;25,6;18,6;16,9;63;55;57;55;6,1;1,8;
2023/01/01;1400 UTC;0;980,6;980,9;980,6;2779,2;27,1;17,9;28,2;26,9;18,6;16,9;58;52;57;26;5,3;2,1;
2023/01/01;1500 UTC;0;979,7;980,6;979,7;2887,9;28,2;18,3;29,3;27,1;19;17,4;58;51;55;25;6,5;1,4;
2023/01/01;1600 UTC;0;978,8;979,7;978,8;3332,2;29,7;17,1;30,3;28;19,4;17,1;58;47;47;354;5,1;1,9;
2023/01/01;1700 UTC;0;977,9;978,8;977,9;3642,8;29,8;18,5;30,7;29,3;19,3;16,7;53;44;51;38;5,9;2,8;
2023/01/01;1800 UTC;0;977,2;977,9;977,2;3033,2;30,3;17,4;31,4;29,8;18,6;16,8;51;43;46;20;7,1;2,3;
