REGIAO:;S
UF:;SC
ESTACAO:;ITAJAI
CODIGO (WMO):;A868
LATITUDE:;-26,95083333
LONGITUDE:;-48,76194444
ALTITUDE:;9,76
DATA DE FUNDACAO:;24/06/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1014,8;1014,8;1014,1;;23,8;20,5;23,8;23,7;20,5;20,2;82;80;82;31;3,7;2,4;
2023/01/01;0100 UTC;0;1014,7;1014,9;1014,7;;23,8;20,4;23,9;23,8;20,5;20,4;82;81;82;55;4,5;2,3;
2023/01/01;0200 UTC;0;1014,2;1014,7;1014,2;;23,5;20,4;23,9;23,5;20,5;20,3;83;81;83;46;4;2;
2023/01/01;0300 UTC;0;1013,7;1014,2;1013,7;;22,9;20,1;23,5;22,9;20,5;20,1;84;83;84;237;3,2;0;
2023/01/01;0400 UTC;0;1013,5;1013,7;1013,4;;22,9;20,4;23,1;22,9;20,5;20,1;86;84;86;226;1,6;,8;
2023/01/01;0500 UTC;0;1013;1013,5;1013;;22,8;20,5;22,9;22,8;20,5;20,4;87;86;87;218;1,6;,3;
2023/01/01;0600 UTC;0;1012,9;1013,1;1012,9;;22,6;20,5;22,8;22,6;20,6;20,5;88;87;88;226;1,3;0;
2023/01/01;0700 UTC;0;1013,2;1013,2;1012,9;;22;20;22,6;22;20,5;20;89;88;89;215;1,9;,1;
2023/01/01;0800 UTC;0;1013,7;1013,7;1013,2;37,5;21,6;19,8;22;21,6;20,1;19,8;90;89;90;241;1,7;0;
2023/01/01;0900 UTC;0;1014,3;1014,3;1013,7;248,1;22,5;20,8;22,5;21,5;20,8;19,8;90;90;90;228;0;0;
