REGIAO:;S
UF:;SC
ESTACAO:;CAMPOS NOVOS
CODIGO (WMO):;A898
LATITUDE:;-27,3886111
LONGITUDE:;-51,21583333
ALTITUDE:;963
DATA DE FUNDACAO:;15/02/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;906,5;906,5;906,2;;21,6;15,4;23,3;21,6;15,6;15,4;68;61;68;42;5,8;3,6;
2023/01/01;0100 UTC;0;907;907;906,5;;20,9;15,5;21,6;20,7;15,5;15,1;71;67;71;73;5,9;4,4;
2023/01/01;0200 UTC;0;907,2;907,3;907;;20,5;15,4;21,2;20,3;15,5;15,2;73;69;73;70;7,4;4,7;
2023/01/01;0300 UTC;0;907,3;907,3;907,2;;19,3;16,3;20,5;19,3;16,4;15,4;83;73;83;86;7,8;4,5;
2023/01/01;0400 UTC;0;907,2;907,3;907,1;;19;16,9;19,5;18,9;16,9;16,4;88;83;88;78;7,6;4,7;
2023/01/01;0500 UTC;0;907,1;907,4;907,1;;18,5;17;19;18,4;17,1;16,7;91;87;91;77;10,4;6,2;
2023/01/01;0600 UTC;0;907,2;907,3;907,1;;18,1;16,4;18,5;18,1;16,9;16,4;91;90;90;59;8,6;5,8;
2023/01/01;0700 UTC;0;907,2;907,3;907,1;;17,2;15,9;18,1;17,2;16,4;15,9;92;90;92;55;8;4;
2023/01/01;0800 UTC;0;907,3;907,4;907,2;;16,5;15,4;17,2;16,5;15,9;15,4;93;92;93;81;6;4,4;
2023/01/01;0900 UTC;0;907,7;907,7;907,3;31;16,7;15,2;16,7;16,4;15,5;15,2;94;91;91;78;6,5;3,9;
2023/01/01;1000 UTC;0;908,3;908,3;907,7;488,1;18,6;16,1;18,6;16,7;16,1;15,2;91;85;86;82;5,8;3,8;
2023/01/01;1100 UTC;0;908,6;908,6;908,2;1301,7;20,5;16,4;20,6;18,6;16,6;15,8;86;76;77;60;8,4;4,8;
2023/01/01;1200 UTC;0;908,5;908,6;908,4;2147,3;22,4;16,6;22,8;20,4;17,1;15,9;77;67;70;51;7,3;3,7;
2023/01/01;1300 UTC;0;908,4;908,6;908,2;2890,6;25;17,6;25,2;22,5;17,6;16,3;70;60;64;37;5,5;2,2;
2023/01/01;1400 UTC;0;907,9;908,4;907,9;3443,2;25,9;17,3;26,6;24,8;18,5;16,5;64;58;59;333;5,9;2,8;
2023/01/01;1500 UTC;0;907,4;907,9;907,3;3925,2;27,2;15,1;28,2;25,9;18,4;14,5;61;46;47;347;6,2;2,4;
2023/01/01;1600 UTC;0;906,5;907,4;906,5;3898,3;28,7;14,7;28,8;26,9;17,1;13,4;52;41;43;353;7,2;2,5;
2023/01/01;1700 UTC;0;905,9;906,5;905,9;3667;29,6;14,8;29,9;28,4;15,7;12,4;45;36;41;312;5,6;2,2;
2023/01/01;1800 UTC;0;905,3;905,9;905,1;3935,2;29,4;14,1;31,1;29,3;16,3;12,5;42;34;39;120;8,9;3,6;
2023/01/01;1900 UTC;0;904,7;905,3;904,7;2644,6;29,9;15,7;30,6;28,4;16,5;13,8;47;37;42;121;8,9;2,8;
2023/01/01;2000 UTC;0;904,3;904,7;904,3;1773,9;29;14,7;30,3;28,7;15,6;13,9;44;39;42;104;7,1;2,7;
2023/01/01;2100 UTC;0;904;904,3;904;507;27,7;15,4;29;27,7;15,6;14,2;47;41;47;84;6,8;4,7;
2023/01/01;2200 UTC;0;904,1;904,2;903,9;396,8;25,8;17,4;27,9;25,8;17,5;15,4;60;47;60;53;8,4;4,8;
2023/01/01;2300 UTC;0;904,5;904,5;904,1;24,3;24;17,6;25,8;24;17,8;17,5;68;60;68;61;7,9;5,2;
2023/01/02;0000 UTC;0;905;905;904,5;;23;17,3;24;23;17,6;17,3;70;67;70;57;8,5;5,7;
2023/01/02;0100 UTC;0;905,8;905,8;904,9;;21,8;17,7;23;21,8;17,7;17,2;78;70;78;64;8,3;5,4;
2023/01/02;0200 UTC;0;906,7;906,7;905,8;;21,2;18,5;21,8;21,2;18,5;17,7;84;78;84;70;9,4;5,1;
2023/01/02;0300 UTC;0;906,4;906,8;906,4;;20,6;18,4;21,2;20,6;18,6;18,3;87;84;87;72;8,8;5,4;
2023/01/02;0400 UTC;0;905,4;906,4;905,4;;19,9;18,1;20,6;19,9;18,4;18,1;90;87;90;90;8,6;5,7;
2023/01/02;0500 UTC;0;905;905,4;905;;19,5;17,5;19,9;19,5;18,2;17,5;90;88;88;70;9,6;5,9;
2023/01/02;0600 UTC;0;904,9;905,2;904,8;;19;17,2;19,5;19;17,5;17,2;89;88;89;72;9,5;4,6;
2023/01/02;0700 UTC;0;904,4;905;904,3;;18,6;16,9;19;18,5;17,2;16,9;91;89;90;83;7;4,3;
2023/01/02;0800 UTC;0;904,5;904,5;904,4;;18,2;16,7;18,6;18,2;16,9;16,7;91;90;91;78;6,7;4;
2023/01/02;0900 UTC;0;904,8;904,8;904,4;17;19,1;16,8;19,2;18,1;16,8;16,6;91;86;86;53;6,9;4;
2023/01/02;1000 UTC;0;905,1;905,1;904,8;210,5;19,9;17;19,9;19,1;17;16,7;86;83;83;15;9,4;5,1;
2023/01/02;1100 UTC;0;905,6;905,7;905,1;419,7;20,2;17,3;20,3;19,9;17,4;17;84;83;84;5;8,9;4,4;
2023/01/02;1200 UTC;0;905,6;905,9;905,5;312,8;20,6;17,9;20,6;20;17,9;17,2;86;83;84;305;7,3;2,4;
2023/01/02;1300 UTC;0;905,1;905,6;905,1;1017,8;20,9;17,3;21,2;20,3;18,3;17,1;86;79;80;285;6,8;3,8;
2023/01/02;1400 UTC;0;905,1;905,2;905;1580,4;22,3;18,1;22,5;20,7;18,6;17,3;82;77;77;305;6,8;2,5;
2023/01/02;1500 UTC;0;904,4;905,1;904,4;2300,2;24,2;16,8;24,9;22,1;19,1;16,8;79;63;63;296;6,6;3,7;
2023/01/02;1600 UTC;0;903,8;904,5;903,8;2475,8;24,7;17,9;25,2;24;18,1;16,7;67;62;66;315;8,5;2,9;
2023/01/02;1700 UTC;0;903,1;903,8;903,1;1435,6;23,6;18,3;24,7;23,6;18,3;17,2;72;64;72;313;7,2;2,1;
2023/01/02;1800 UTC;0;902,4;903,1;902,3;1757;24,4;18,6;25,1;22,8;19,8;18,4;79;70;70;342;6,5;2,6;
2023/01/02;1900 UTC;0;901,8;902,4;901,8;2617,7;25,5;17,3;25,8;24,1;19,7;16,2;72;56;60;293;7,6;4;
2023/01/02;2000 UTC;0;901,1;901,8;901,1;1828,3;24,5;17,1;25,8;24,4;17,8;16,3;64;57;64;291;8,8;2,7;
2023/01/02;2100 UTC;0;900,7;901,1;900,6;1090,8;24,6;17,3;25,2;23,8;17,9;16,7;66;60;64;305;7;3;
2023/01/02;2200 UTC;0;901,2;901,2;900,7;399,3;22,7;16,7;24,7;22,7;17,5;16,7;69;62;69;298;7;1,3;
